s,x,y,curvature
1.593995711222301603e-01,3.570715914847774272e-03,5.679769738108619848e-01,2.136877903959753411e+00
1.601143674052895038e-01,3.566920914578754643e-03,5.651465852775736654e-01,-4.062713889714780890e+01
1.608291636883488196e-01,3.527037605132860715e-03,5.623334944738506147e-01,-1.189634920717156547e+03
1.615439599714081631e-01,1.688853856040606598e-03,5.603823591184293740e-01,3.989202407105275938e+02
1.622587562544674789e-01,1.778664155594229020e-03,5.575071040034087488e-01,3.278832840731057274e+01
1.629735525375268224e-01,1.785196991669483904e-03,5.546717651988315456e-01,2.549140835166042951e+00
1.636883488205861381e-01,1.785577719153701864e-03,5.518393756049188026e-01,4.608676910050917841e-01
1.644031451036454539e-01,1.784412057800720351e-03,5.490077324426059224e-01,3.134200717896030053e+00
1.651179413867047974e-01,1.768962644187812910e-03,5.461830029286088850e-01,3.654712386972909144e+01
1.658327376697641131e-01,1.543403794746616223e-03,5.434599226076877176e-01,-6.638752389970915146e+02
1.665475339528234566e-01,-7.334022065227279244e-05,5.413945777669096904e-01,1.594650920997308106e+02
1.672623302358827724e-01,-1.041095824979605130e-04,5.384895670080156460e-01,5.588038047159583357e+02
1.679771265189421159e-01,1.796490557260662724e-03,5.365631256172803676e-01,-1.298719714300945725e+03
1.686919228020014316e-01,1.785146497837062632e-03,5.337254287716608481e-01,2.498842617312035497e+00
1.694067190850607751e-01,1.767499896446119443e-03,5.308847630983515309e-01,1.280163372725551426e+03
1.701215153681200909e-01,3.664392253447227871e-03,5.289618312233419495e-01,-5.504344215550836452e+02
1.708363116511794066e-01,3.516421553207029708e-03,5.260586964121566345e-01,7.215457845217072474e+01
1.715511079342387502e-01,5.087304279261050007e-03,5.239794385451111980e-01,-5.751873113456622377e+02
1.722659042172980659e-01,5.241906285585154653e-03,5.212213314899958316e-01,6.742033555151614337e+02
1.729807005003574094e-01,7.170417950450925539e-03,5.193135556225595417e-01,-1.175965728565398194e+03
1.736954967834167252e-01,7.156778871430190953e-03,5.164748101721784446e-01,1.187600362100489747e+03
1.744102930664760687e-01,9.049306483665791462e-03,5.145497856834327921e-01,-5.644302832048120990e+02
1.751250893495353844e-01,9.288979542036062895e-03,5.118324648491689999e-01,4.391285406453134783e+02
1.758398856325947279e-01,1.070692213092623926e-02,5.096799517681472880e-01,3.227073135636105690e+02
1.765546819156540437e-01,1.269992931423936412e-02,5.078030270527478240e-01,-4.494374706774502215e+01
1.772694781987133594e-01,1.427487116969828988e-02,5.057257750283797870e-01,4.143706680719691349e+01
1.779842744817727029e-01,1.591838300307714393e-02,5.036813242432907067e-01,-1.619230693369367771e+02
1.786990707648320187e-01,1.820688421828436931e-02,5.019461076926577947e-01,7.520565933988596896e+01
1.794138670478913622e-01,1.962554674197182145e-02,4.997939374936979928e-01,2.064764927092808762e+02
1.801286633309506779e-01,2.144902599383016403e-02,4.978357524264892531e-01,-1.819071743933254766e+02
1.808434596140100215e-01,2.363918498126079543e-02,4.960533362230636900e-01,4.370554312868188873e+01
