s,x,y,curvature
6.403201600800399740e-02,3.106448264462000619e-01,8.432727183045581887e-01,-1.598144040145172085e+00
6.453226613306653481e-02,3.088386747951925027e-01,8.432736061721347598e-01,3.614184018738126447e+00
6.503251625812905834e-02,3.070327415972032292e-01,8.432739404517534121e-01,-1.214251319776645488e+01
6.553276638319159575e-02,3.052328911289461932e-01,8.432588603165454000e-01,-2.078980177848000466e+01
6.603301650825411928e-02,3.033861013834994180e-01,8.433627303110214912e-01,2.923383333537964290e+02
6.653326663331665669e-02,3.019033288069801757e-01,8.425441342212393048e-01,-3.270162447029160546e+01
6.703351675837918022e-02,3.003868583480401866e-01,8.418109323924694021e-01,-2.025489900330639443e+02
6.753376688344171763e-02,2.985555587793050081e-01,8.418755494399041694e-01,-1.682287077758513760e+02
6.803401700850424116e-02,2.967441166545438103e-01,8.418898430500788566e-01,1.118995474000319746e+03
6.853426713356677857e-02,2.954431722355532197e-01,8.406105204696814326e-01,-7.890003104739586206e+02
6.903451725862931598e-02,2.936790987597909797e-01,8.405047809014170035e-01,2.501141815465844331e+02
6.953476738369183952e-02,2.918575196815307304e-01,8.405447629275980548e-01,2.508476058307762102e+01
7.003501750875437692e-02,2.902471296837871306e-01,8.400495790150598330e-01,2.318942109386007928e+02
7.053526763381690046e-02,2.888565076948755861e-01,8.389974900714548545e-01,-5.924750300480374108e+02
7.103551775887943787e-02,2.869586790038379243e-01,8.392306929622784795e-01,4.612398584863807400e+02
7.153576788394196140e-02,2.855221420443484481e-01,8.382949552793933501e-01,-1.161631809776558555e+02
7.203601800900449881e-02,2.839662928466016867e-01,8.376615617362098698e-01,-1.286908463642490403e+02
7.253626813406702234e-02,2.821392118053634435e-01,8.377154861843968403e-01,-1.983558685378521602e+02
7.303651825912955975e-02,2.803431694132223484e-01,8.376907567726160631e-01,9.936881408281436734e+02
7.353676838419209716e-02,2.790451954454989392e-01,8.364039070039709367e-01,-8.409231555003335643e+02
7.403701850925462069e-02,2.772507022334398941e-01,8.363752522023392144e-01,8.065338366202477971e+01
7.453726863431715810e-02,2.755747172859842054e-01,8.360462901785622458e-01,3.946265013912350810e+02
7.503751875937968163e-02,2.742338407738147965e-01,8.348681430754720800e-01,-7.930002290649515544e+02
7.553776888444221904e-02,2.723549427176074067e-01,8.350533746681361169e-01,2.908903779414713995e+02
7.603801900950474257e-02,2.708333916532040808e-01,8.343330676039116822e-01,6.164828754555203716e+01
7.653826913456727998e-02,2.693760757063654032e-01,8.334499854531947083e-01,-4.165830245234881772e+02
7.703851925962980352e-02,2.674821402145678428e-01,8.336733214050465746e-01,6.167419399570402447e+02
7.753876938469234092e-02,2.660969009319977263e-01,8.326076044335627424e-01,-2.311294672666424219e+02
7.803901950975487833e-02,2.644891609274327426e-01,8.321057108189304774e-01,-1.725366640642303935e+02
7.853926963481740187e-02,2.626477571012743595e-01,8.321959292041728462e-01,1.077910348047295429e+03
7.903951975987993928e-02,2.613554386608663016e-01,8.308947332600196134e-01,-9.664102679448579920e+02
7.953976988494246281e-02,2.595976408712851180e-01,8.307730895197854570e-01,1.349487400880602991e+03
8.004002001000500022e-02,2.583064626260532237e-01,8.294690043691786974e-01,-1.160824305240583953e+03
8.054027013506752375e-02,2.565484977518815435e-01,8.293477846357640848e-01,1.203893071367721632e+03
8.104052026013006116e-02,2.552581965706357536e-01,8.280414915600903258e-01,-1.338311249160056150e+03
8.154077038519258469e-02,2.535031992954354663e-01,8.279127513633157687e-01,1.013900185846085265e+03
8.204102051025512210e-02,2.522060926567515904e-01,8.266236890782450164e-01,-1.388761213880674632e+03
8.254127063531765951e-02,2.504611750765451950e-01,8.264694082108232642e-01,8.251136693842659042e+02
8.304152076038018304e-02,2.491499121056300614e-01,8.252162330925253420e-01,-1.141374159070653150e+03
8.354177088544272045e-02,2.474219092920111884e-01,8.250190864958628634e-01,6.542758602375387227e+02
8.404202101050524398e-02,2.460902946411037684e-01,8.238174693391691061e-01,-8.971134828905810537e+02
8.454227113556778139e-02,2.443829536432187977e-01,8.235679689674327841e-01,5.151631940945677570e+02
8.504252126063030492e-02,2.430322384905512223e-01,8.224147669437994468e-01,-7.168525089246172683e+02
8.554277138569284233e-02,2.413101388283183935e-01,8.222026609948448472e-01,5.615196212230890751e+02
8.604302151075536587e-02,2.400653697793734276e-01,8.207809715469046585e-01,-1.778838334989883663e+02
8.654327163581790328e-02,2.387461653337805689e-01,8.195479080126271132e-01,1.520295193790818473e+02
8.704352176088044069e-02,2.374260246522759132e-01,8.183172298588938798e-01,-9.953036012151840168e+02
8.754377188594296422e-02,2.356581715534976085e-01,8.182210676599415144e-01,8.355042896747858094e+02
8.804402201100550163e-02,2.343832442824073659e-01,8.168758001642923983e-01,-1.814904736406411132e+02
8.854427213606802516e-02,2.330640731402293386e-01,8.156426160533546410e-01,3.370341013455517754e+01
8.904452226113056257e-02,2.317393917265454795e-01,8.144234309791886783e-01,1.039285512953885160e+01
8.954477238619308610e-02,2.304283548330980369e-01,8.131697184741853990e-01,-3.837788254963717804e+01
9.004502251125562351e-02,2.290860679134056888e-01,8.119949687372913782e-01,1.058781060575867343e+02
9.054527263631814704e-02,2.278439368750396765e-01,8.105672036782026746e-01,-2.384268107291476042e+02
9.104552276138068445e-02,2.262669427700258751e-01,8.099857700207199196e-01,-5.211634190931558663e+00
9.154577288644322186e-02,2.246902896206204314e-01,8.094129710361561703e-01,2.380917692812660391e+02
9.204602301150574539e-02,2.234343572658998300e-01,8.079908939890241282e-01,-8.974445717120855193e+01
9.254627313656828280e-02,2.221327744567574147e-01,8.067962367744738739e-01,9.128922959197412368e+00
9.304652326163080633e-02,2.207240566178928498e-01,8.055904430452021092e-01,-3.020187788287648445e+01
9.354677338669334374e-02,2.195622072048730999e-01,8.042912189350894803e-01,7.669710464490170807e+02
9.404702351175586728e-02,2.193354148283271632e-01,8.025834677327933209e-01,-6.454161477623691781e+02
9.454727363681840469e-02,2.178088502073910193e-01,8.014405274033490345e-01,1.706346889588895408e+02
9.504752376188092822e-02,2.165301723206878026e-01,8.001897539872381282e-01,-5.835960156030246537e+01
9.554777388694346563e-02,2.152084202867146079e-01,7.989576943628738936e-01,-2.550547424175741984e+00
9.604802401200598916e-02,2.138773165231089290e-01,7.977297214318814778e-01,5.043111347042656689e+01
9.654827413706852657e-02,2.126128698413757290e-01,7.964727857020382773e-01,-1.480346025817096347e+02
9.704852426213106398e-02,2.110713900494320394e-01,7.953361231885015536e-01,4.515429981665819810e+02
9.754877438719358751e-02,2.107018963162952674e-01,7.936907224099446490e-01,-3.597102422357451132e+02
9.804902451225612492e-02,2.097753212074384144e-01,7.922871192585360101e-01,-1.792435730921438051e+02
9.854927463731864845e-02,2.080746895526550955e-01,7.912195428862471847e-01,5.437727651373143090e+02
9.904952476238118586e-02,2.077737955766382205e-01,7.895443637059603725e-01,-6.039375106126836954e+02
9.954977488744370939e-02,2.065997417403619418e-01,7.882481893995813005e-01,4.376989394853930548e+02
1.000500250125062468e-01,2.062624374811360684e-01,7.865888022115720135e-01,-9.191668164242280454e+02
1.005502751375687703e-01,2.050142658255988126e-01,7.853248261543167574e-01,5.097876422767581630e+02
1.010505252626313077e-01,2.047475861980763145e-01,7.836347898806318435e-01,-1.253767257710686245e+01
1.015507753876938452e-01,2.044977672353702480e-01,7.819374567798517139e-01,-5.308865086120928254e+02
1.020510255127563687e-01,2.032062095484695186e-01,7.806922522183191715e-01,9.875319408048904961e+02
